FMZ,Group,Lake_Name,Wby_Lid,Latitude,Longitude,Elevation,Area_ha,Shoreline,Depth_Max,Depth_Mn,Secchi,DOC
1,0,Pine Lake,16-6284-60018,54.15,-85.04,108,299,2.0,12.7,4.7,1.90,8.6
1,0,Shamattawa Lake,16-5856-60025,54.17,-85.69,86,963,8.8,7.2,1.6,1.20,15.2
1,0,Spruce Lake,16-6292-60223,54.33,-85.01,109,1082,3.8,16.0,4.5,2.00,7.8
2,0,Big Trout Lake,15-6978-59597,53.75,-90.00,219,63883,108.0,36.6,10.3,5.80,6.4
2,0,Cairns Lake,15-3974-57298,51.71,-94.49,373,5220,26.1,18.5,7.0,5.70,5.5
2,0,Echoing Lake,15-5492-60415,54.52,-92.24,199,5389,9.4,30.0,8.9,7.70,6.0
2,0,"I-291, Lake",16-4324-56660,51.14,-87.97,299,549,6.9,4.2,1.3,2.20,11.8
2,0,Lingman Lake,15-5089-59670,53.85,-92.87,250,507,4.7,4.9,1.9,2.10,8.2
2,0,Nikip Lake,15-5751-58597,52.90,-91.88,295,5513,9.1,2.7,1.6,1.00,12.5
2,0,NL,16-4137-58866,53.13,-88.31,,1301,15.2,14.6,2.5,2.50,8.3
2,0,North Spirit Lake,15-5061-58179,52.51,-92.91,335,6603,35.7,31.5,9.8,2.30,11.5
2,0,Sandy Lake,15-5000-58758,53.03,-92.97,274,48375,143.7,15.2,2.9,0.50,11.5
2,0,Totogan Lake,16-3492-57692,52.06,-89.20,310,2709,12.9,7.0,2.5,1.30,12.2
2,0,Tutu Lake,15-5365-57696,52.08,-92.47,401,329,3.4,4.7,1.0,1.10,7.0
2,0,Weese Lake,16-3864-56799,51.26,-88.63,311,1263,6.8,15.0,1.4,1.75,11.5
2,0,Windigo Lake,15-5988-58262,52.58,-91.54,340,8028,15.7,7.0,3.8,1.60,8.4
2,0,Winisk Lake,16-4753-58628,52.91,-87.38,199,25815,162.2,16.5,2.2,3.00,8.8
3,0,McFaulds Lake,16-5630-58465,52.77,-86.06,158,958,2.5,3.2,1.6,0.80,12.6
3,0,Wild Berry Lake,16-5494-59810,53.97,-86.25,120,2157,6.8,2.8,1.5,0.60,14.0
4,0,Amik Lake,15-5782-55201,49.83,-91.91,403,1162,12.8,20.4,5.5,1.50,14.0
4,0,Arc Lake,15-6471-56202,50.72,-90.91,399,596,6.8,31.0,5.7,3.01,10.9
4,0,Arethusa Lake,15-5837-55088,49.73,-91.84,425,768,6.6,18.0,6.2,3.00,7.7
4,0,Bawden Lake,15-6011-55383,49.99,-91.59,393,376,3.5,11.0,3.4,0.70,13.7
4,0,Bell Lake,15-6500-55194,49.81,-90.92,415,4162,30.9,34.4,9.5,3.25,6.3
4,0,Berens Lake,15-4525-57350,51.77,-93.69,339,2662,18.3,11.6,4.7,1.31,15.2
4,0,Bertaud Lake,15-6617-56410,50.90,-90.70,399,413,7.4,24.0,6.9,1.50,11.4
