Wby_Lid,Period,Tjan,Tfeb,Tmar,Tapr,Tmay,Tjun,Tjul,Taug,Tsep,Toct,Tnov,Tdec,Tann,Paug
15-3523-55336,2001-2010,-15.23,-13.77,-5.73,4.1,10.01,16.28,19.41,18.09,13.36,5.02,-2.76,-12.22,3.15,88.72
15-3532-55170,2001-2010,-15.17,-13.7,-5.67,4.16,10.05,16.33,19.46,18.14,13.41,5.06,-2.71,-12.16,3.2,88.75
15-3543-56122,2001-2010,-15.81,-14.42,-6.25,3.56,9.62,15.82,18.92,17.67,12.87,4.61,-3.21,-12.82,2.65,89.22
15-3559-55281,2001-2010,-15.19,-13.73,-5.7,4.14,10.04,16.32,19.46,18.13,13.4,5.05,-2.74,-12.18,3.19,88.97
15-3653-55394,2001-2010,-15.21,-13.73,-5.71,4.15,10.04,16.33,19.49,18.15,13.42,5.05,-2.75,-12.2,3.19,89.47
15-3654-55172,2001-2010,-15.13,-13.64,-5.64,4.24,10.11,16.41,19.58,18.24,13.51,5.12,-2.69,-12.12,3.27,89.81
15-3662-55240,2001-2010,-15.15,-13.66,-5.66,4.23,10.1,16.4,19.57,18.23,13.5,5.11,-2.7,-12.13,3.25,89.84
15-3754-55732,2001-2010,-15.43,-14,-5.91,3.89,9.86,16.1,19.21,17.92,13.17,4.86,-2.93,-12.43,2.96,88.88
15-3755-55568,2001-2010,-15.3,-13.84,-5.79,4.04,9.97,16.24,19.38,18.06,13.32,4.97,-2.83,-12.29,3.1,89.28
15-3786-56088,2001-2010,-15.85,-14.47,-6.31,3.51,9.58,15.77,18.88,17.63,12.83,4.57,-3.27,-12.88,2.6,89.87
15-3795-55615,2001-2010,-15.35,-13.89,-5.83,3.99,9.93,16.19,19.33,18.02,13.27,4.93,-2.86,-12.34,3.05,89.19
15-3895-55970,2001-2010,-15.78,-14.37,-6.23,3.57,9.63,15.82,18.94,17.68,12.89,4.62,-3.21,-12.8,2.66,89.68
15-3974-57298,2001-2010,-16.56,-15.28,-6.99,2.96,9.21,15.42,18.57,17.33,12.41,4.17,-3.83,-13.57,2.09,91.64
15-3982-55227,2001-2010,-15.04,-13.52,-5.58,4.45,10.26,16.61,19.87,18.47,13.74,5.27,-2.63,-12.03,3.43,92.23
